Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups,Task Division
Regional profile Limestone Coast,"Regional profile tables containing gross regional product and output, employment, household income and expenditure, and trade.
The tables are estimates derived as part of the input-output table construction process for South Australia and its regions.  They are not taken directly from a census or survey, but are based on a mix of collected data, state shares (if a regional table) and estimates based on parent table values. 
",dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/b7a2a07f-7c77-4eb8-8475-f49aa07cd147,2014-06-26T02:56:56.405962,2016-06-30T06:18:45.030922,DPCEAPSubscriptions@dpc.sa.gov.au,N/A,2011/7/1,2015/6/30,Limestone Coast,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,"Regional Employment, gross regional product, profile, region","Business, industry and trade",Steven
Regional profile Eastern Adelaide,"Regional profile tables containing gross regional product and output, employment, household income and expenditure, and trade.
The tables are estimates derived as part of the input-output table construction process for South Australia and its regions.  They are not taken directly from a census or survey, but are based on a mix of collected data, state shares (if a regional table) and estimates based on parent table values. 
",dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/df2fb8ac-7756-4060-aea0-65080826ee4a,2014-06-26T02:37:52.577132,2016-06-30T06:18:00.313701,DPCEAPSubscriptions@dpc.sa.gov.au,N/A,2011/7/1,2015/6/30,Eastern Adelaide,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,"employment, gross regional product, profile, region","Business, industry and trade",Steven
Regional profile Murray & Mallee,"Regional profile tables containing gross regional product and output, employment, household income and expenditure, and trade.
The tables are estimates derived as part of the input-output table construction process for South Australia and its regions.  They are not taken directly from a census or survey, but are based on a mix of collected data, state shares (if a regional table) and estimates based on parent table values. 
",dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/a0b6e2c3-189e-4ce7-a6b6-348aa0028cab,2014-06-26T03:01:10.715048,2016-06-30T06:16:16.479169,DPCEAPSubscriptions@dpc.sa.gov.au,N/A,2011/7/1,2015/6/30,Murray & Mallee,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,"employment, gross regional product, profile, region","Business, industry and trade",Steven
Regional profile Southern Adelaide,"Regional profile tables containing gross regional product and output, employment, household income and expenditure, and trade.
The tables are estimates derived as part of the input-output table construction process for South Australia and its regions.  They are not taken directly from a census or survey, but are based on a mix of collected data, state shares (if a regional table) and estimates based on parent table values. 
",dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/c1ee506e-432e-4d89-8cc8-77a5572a3544,2014-06-26T03:17:25.870024,2016-06-30T06:14:47.660355,DPCEAPSubscriptions@dpc.sa.gov.au,N/A,2011/7/1,2015/6/30,Southern Adelaide,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,"Regional Employment, gross regional product, profile, region","Business, industry and trade",Steven
Regional profile Western Adelaide,"Regional profile tables containing gross regional product and output, employment, household income and expenditure, and trade.
The tables are estimates derived as part of the input-output table construction process for South Australia and its regions.  They are not taken directly from a census or survey, but are based on a mix of collected data, state shares (if a regional table) and estimates based on parent table values. 
",dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/8b48d402-899c-46fc-8b2e-6628a3f0dad4,2014-06-26T03:20:54.303811,2016-06-30T06:07:37.825099,DPCEAPSubscriptions@dpc.sa.gov.au,N/A,2011/7/1,2015/6/30,Western Adelaide,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,"Regional Employment, gross regional product, profile, region","Business, industry and trade",Steven
Regional profile Yorke & Mid North,"Regional profile tables containing gross regional product and output, employment, household income and expenditure, and trade.
The tables are estimates derived as part of the input-output table construction process for South Australia and its regions.  They are not taken directly from a census or survey, but are based on a mix of collected data, state shares (if a regional table) and estimates based on parent table values.",dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/cb34dc2c-43e8-4228-a7f7-90e33aa75a5e,2014-06-26T02:25:36.448907,2016-06-30T06:06:02.134182,DPCEAPSubscriptions@dpc.sa.gov.au,N/A,2011/7/1,2015/6/30,Yorke & Mid North,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,"employment, gross regional product, profile, region","Business, industry and trade",Steven
Payroll Services - HRPAYB03 NUMBER OF PAY DAYS PER MONTH,Payroll Services - HRPAYB03 NUMBER OF PAY DAYS PER MONTH FY16,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/6fed919c-4640-4b7e-a32b-49d0708004d3,2016-06-27T03:40:55.300828,2016-06-30T05:58:22.477298,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - HRPAYB04 NUMBER OF EMPLOYEES PAID FOR THE MONTH - DECD ONLY,Payroll Services - HRPAYB04 NUMBER OF EMPLOYEES PAID FOR THE MONTH - DECD ONLY FY16,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/369fb9a0-45b1-4599-8bfc-b0524000dc46,2016-06-27T03:42:13.637009,2016-06-30T05:57:21.743201,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,,Government reporting and policy,Steven
Payroll Services - HRPAYP07  NUMBER OF PAYMENT SUMMARY NOTICES GENERATED,Payroll Services - HRPAYP07  NUMBER OF PAYMENT SUMMARY NOTICES GENERATED,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/6d0f4151-54bb-4087-8893-c1206a9c0287,2016-06-27T03:53:39.676834,2016-06-30T05:57:09.311925,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - Salary and Contract Variation Requests Received and Completed,Payroll Services - Salary and Contract Variation Requests Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/a80956f3-9b5b-4a5a-8bf0-b62037065bf1,2016-06-27T23:13:47.324139,2016-06-30T05:56:53.887565,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Financial Services - FINTCP01 NUMBER OF BAS OR IAS LODGED ON TIME,Financial Services - FINTCP01 NUMBER OF BAS OR IAS LODGED ON TIME,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/9d546f15-1b99-4f8f-af7a-387d9ca81f0b,2016-06-29T02:09:26.399604,2016-06-30T05:27:23.516039,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Financial Services,Government reporting and policy,Steven
Financial Services - FINTCBP01 NUMBER OF BAS OR IAS LODGED,Financial Services - FINTCBP01 NUMBER OF BAS OR IAS LODGED,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/fed80a40-24b9-4e37-a9df-67dd500d4a4a,2016-06-29T02:05:27.289764,2016-06-30T05:25:45.110211,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Financial Services,Government reporting and policy,Steven
Financial Services - FINGAP05 NUMBER OF BANK RECONCILIATIONS,Financial Services - FINGAP05 NUMBER OF BANK RECONCILIATIONS,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/ea963023-4ec6-48cb-9438-927b0e1b9b10,2016-06-28T23:36:29.702646,2016-06-30T05:25:10.972728,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Financial Services,Government reporting and policy,Steven
Financial Services - FINTCB01 NUMBER OF PAYROLL TAX OR OTHER RETURNS LODGED,Financial Services - FINTCB01 NUMBER OF PAYROLL TAX OR OTHER RETURNS LODGED,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/d1d7fe64-c49b-4789-8947-5fbc3fd800bb,2016-06-29T02:04:45.252267,2016-06-30T05:24:31.301523,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Financial Services,Government reporting and policy,Steven
Financial Services - FINTCP02 NUMBER OF FBT RETURNS LODGED ON TIME,Financial Services - FINTCP02 NUMBER OF FBT RETURNS LODGED ON TIME,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/9bab982e-8953-48a2-a438-9f7c5327ce0e,2016-06-29T02:10:03.801042,2016-06-30T05:19:39.631808,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,,Government reporting and policy,Steven
FINGAP07 NUMBER OF FINANCIAL STATEMENTS AND NOTES TO ACCOUNTS PRODUCED,FINGAP07 NUMBER OF FINANCIAL STATEMENTS AND NOTES TO ACCOUNTS PRODUCED,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/55448b75-d91b-4644-b919-380caf061255,2016-06-28T23:38:25.900645,2016-06-30T05:19:00.243362,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Financial Services,Government reporting and policy,Steven
Financial Services - FINGAP02 NUMBER OF GENERAL LEDGER CLOSE-OFFS COMPLETED ON TIME,Financial Services - FINGAP02 NUMBER OF GENERAL LEDGER CLOSE-OFFS COMPLETED ON TIME,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/5b62492f-1202-442b-bc92-9414365f34a9,2016-06-28T23:34:30.075276,2016-06-30T05:18:28.537242,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Financial Services,Government reporting and policy,Steven
Payroll Services - Employee Termination Paperwork Received and Completed,Payroll Services - Employee Termination Paperwork Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/9a92d334-ac4f-41fb-9d00-99257834f1aa,2016-06-27T23:06:34.725867,2016-06-30T05:17:49.955727,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - Salary Sacrifice Refund Requests Received and Completed,Payroll Services - Salary Sacrifice Refund Requests Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/6c06bd47-1557-4fb0-8452-ef0bb7fc4150,2016-06-27T23:14:32.570599,2016-06-30T05:17:12.089836,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - Leave Audit Requests Received and Completed,Payroll Services - Leave Audit Requests Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/a9c7c198-a5b9-4115-b7ac-087df433ee9d,2016-06-27T23:09:00.255385,2016-06-30T05:16:27.471723,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - Workers Compensation Transactions Received and Completed,Payroll Services - Workers Compensation Transactions Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/48419b3b-497a-4379-a754-57226994ca30,2016-06-27T23:18:43.833431,2016-06-30T05:14:06.792016,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - Supplimentary Payroll Transactions or Requests Received and Completed,Payroll Services - Supplimentary Payroll Transactions or Requests Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/d0aaad69-e9e1-4323-89e2-4dae38785ae2,2016-06-27T23:16:04.278230,2016-06-30T05:13:31.822545,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - Leave Booking Transactions Received and Completed,Payroll Services - Leave Booking Transactions Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/0444c5ea-646c-40f8-8c81-2ffe2ae3a548,2016-06-27T23:09:48.904954,2016-06-30T05:13:03.869817,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,,Government reporting and policy,Steven
Payroll Services - Superannuation Transactions Received and Completed,Payroll Services - Superannuation Transactions Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/e579044c-4db9-429f-8ea1-ff28f73b6790,2016-06-27T23:15:22.243104,2016-06-30T05:12:32.795090,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - Increment Transactions Received and Completed,Payroll Services - Increment Transactions Received and Completed ,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/1f65485f-4b42-482a-b9fc-78978172c5c7,2016-06-27T23:08:11.422885,2016-06-30T05:12:06.899372,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,,Government reporting and policy,Steven
Payroll Services - Employee Transfer Paperwork Received and Completed,Payroll Services - Employee Transfer Paperwork Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/fbd02812-770d-4c7c-95bf-1cd0eca57da5,2016-06-27T23:07:20.135128,2016-06-30T05:11:39.668896,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - Allowance Transactions Received and Completed,Payroll Services - Allowance Transactions Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/be2235b3-2eb0-445b-b9b6-b5128cf988a3,2016-06-27T22:57:49.501309,2016-06-30T04:59:39.471762,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Financial Services - FINGAP04 NUMBER OF JOURNALS POSTED ON TIME,Financial Services - FINGAP04 NUMBER OF JOURNALS POSTED ON TIME,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/e68b81b2-b328-4de2-8875-84983e4587ce,2016-06-28T23:35:45.694065,2016-06-30T04:59:02.046249,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Financial Services,Government reporting and policy,Steven
Payroll Services - Position Maintenance Transactions Received and Completed,Payroll Services - Position Maintenance Transactions Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/cd05f57e-eacb-4a64-be76-2b0cd2033fd2,2016-06-27T23:12:12.743895,2016-06-30T04:58:32.881920,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Financial Services - FINGAP06 NUMBER OF BANK RECONCILIATIONS COMPLETED ON TIME,Financial Services - FINGAP06 NUMBER OF BANK RECONCILIATIONS COMPLETED ON TIME,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/54799263-6d61-4d6a-a8e7-c339bd70881f,2016-06-28T23:37:33.179792,2016-06-30T04:58:04.832291,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Financial Services,Government reporting and policy,Steven
Accounts Receivable - Dollar Amount of Current Unapplied ReceiptsGreater than 90 Days Old,Accounts Receivable - Dollar Amount of Current Unapplied ReceiptsGreater than 90 Days Old,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/71ca8225-d2cf-49b7-9ae2-9f3ce87b68bd,2016-06-24T02:02:45.587656,2016-06-30T04:57:29.034545,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Financial Services - FINGAP03 NUMBER OF JOURNALS POSTED,Financial Services - FINGAP03 NUMBER OF JOURNALS POSTED,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/3e4ebb53-4ab6-479d-8cd4-0eb904220b86,2016-06-28T23:35:05.511444,2016-06-30T04:52:04.759336,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Financial Services,Government reporting and policy,Steven
Accounts Receivable - Dollar Amount of Current Unapplied Receipts 31-60 Days Old,Accounts Receivable - Dollar Amount of Current Unapplied Receipts 31-60 Days Old,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/fb898af2-d5b1-4fe5-b9c9-efb3fb922181,2016-06-24T02:01:58.032711,2016-06-30T04:45:06.478624,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Receivable - Dollar Amount of Current Unapplied Receipts 31-60 Days Old,Accounts Receivable - Dollar Amount of Current Unapplied Receipts 31-60 Days Old ,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/212887fc-0b32-4ee3-8649-dfd54be78998,2016-06-24T02:00:50.087901,2016-06-30T04:44:43.380029,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Receivable - Dollar Amount of Current Debts 0-30 Days Old,Accounts Receivable - Dollar Amount of Current Debts 0-30 Days Old,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/09de27bb-9976-4207-a96f-c84e77c8b22a,2016-06-24T01:48:13.934420,2016-06-30T04:44:18.990257,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Receivable - Number of Current Debts 180 or More Days Old,Accounts Receivable - Number of Current Debts 180 or More Days Old,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/8ecad605-3dd1-45ea-a8a8-3ac37d3ed54c,2016-06-24T01:47:17.614258,2016-06-30T04:43:55.020764,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Receivable - Number of Current Debts 121-150 Days Old,Accounts Receivable - Number of Current Debts 121-150 Days Old,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/8656a6dc-f269-4477-bebf-55200294fd4b,2016-06-24T01:46:26.083409,2016-06-30T04:43:31.290123,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Receivable - Dollar Amount of Current Debts 91-120 Days Old,Accounts Receivable - Dollar Amount of Current Debts 91-120 Days Old,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/259e08a6-5814-4435-a996-f8ab22635ff6,2016-06-24T01:50:33.938812,2016-06-30T04:43:04.838572,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Receivable - Number of Statements Made Available Within Agreed Timeframes,Accounts Receivable - Number of Statements Made Available Within Agreed Timeframes,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/9e254ac3-cdfa-4f71-8ccc-f04d3574e76b,2016-06-24T01:31:47.361062,2016-06-30T04:42:41.210390,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Payable - TI11 - Total Number of Invoices Paid FY15,Accounts Payable - TI11 - Total Number of Invoices Paid FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/d9f22bb5-6386-400b-b623-3bf250ce4dc9,2016-06-23T07:59:03.101926,2016-06-30T04:42:16.452103,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Payable - Number of Business Days for Scan To Workflow Process FY15,Accounts Payable - Number of Business Days for Scan To Workflow Process FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/ff88be84-2a84-4b57-8e60-a282f6ce439b,2016-06-23T08:19:12.173413,2016-06-30T04:41:50.781277,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Receivable - Dollar Amount of Current Debts 31-60 Days Old,Accounts Receivable - Dollar Amount of Current Debts 31-60 Days Old,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/54bf0dcf-6c81-4a5c-82c2-4ba46a32a1bb,2016-06-24T01:49:01.105989,2016-06-30T04:41:00.068150,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Receivable - Dollar Amount of Current Debts 61-90 Days Old,Accounts Receivable - Dollar Amount of Current Debts 61-90 Days Old,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/c2078e11-3c14-486a-b66e-ada500518c7c,2016-06-24T01:49:50.289188,2016-06-30T04:39:50.196751,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Payable - TI11 - Number of Invoices Paid within 31 to 60 Calendar Days FY15,Accounts Payable - TI11 - Number of Invoices Paid within 31 to 60 Calendar Days FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/8e442386-eec4-4770-91be-ca95f7e88e11,2016-06-23T08:01:02.740019,2016-06-30T04:39:26.190417,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Payroll Services - HRPAYBP02 NUMBER OF EMPLOYEES PAID FOR THE MONTH,Payroll Services - HRPAYBP02 NUMBER OF EMPLOYEES PAID FOR THE MONTH FY16,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/edf05c75-789f-4e4b-baff-5b2174b964c3,2016-06-27T03:43:12.909062,2016-06-30T04:37:45.598996,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - HRPAYP17 CALLS ANSWERED WITHIN 50 SECONDS,Payroll Services - HRPAYP17 CALLS ANSWERED WITHIN 50 SECONDS FY16,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/b6157541-d596-4d21-ac85-8dfa739c5aed,2016-06-27T03:58:34.528322,2016-06-30T04:36:04.998417,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - HRPAYP16 CALLS ANSWERED SUCCESSFULLY,Payroll Services - HRPAYP16 CALLS ANSWERED SUCCESSFULLY FY16,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/ef3adfc8-e273-483a-a5b6-eddc97e55c5a,2016-06-27T03:57:36.666592,2016-06-30T04:35:39.662844,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Accounts Payable - Number of Invoices Escalated FY15,Accounts Payable - Number of Invoices Escalated FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/1cfd8dda-3c8f-4bed-838f-5de654a5c2b9,2016-06-23T08:22:41.853248,2016-06-30T04:35:12.241944,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Payroll Services - HRPAYP04 NUMBER OF BASE UNDERPAYMENTS THROUGH PROCESSING EXCEPTION,HRPAYP04 NUMBER OF BASE UNDERPAYMENTS THROUGH PROCESSING EXCEPTION,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/b8fd4558-95f4-4744-b4af-181e394c5078,2016-06-27T03:50:28.551005,2016-06-30T04:29:36.702999,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - New Starter Transactions Received and Completed,Payroll Services - New Starter Transactions Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/2167d67a-8cba-4449-a306-cac688d8a7c2,2016-06-27T23:10:29.614707,2016-06-30T04:29:09.487502,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - HRPAYP12 AVERAGE CALL DURATION IN SECONDS,Payroll Services - HRPAYP12 AVERAGE CALL DURATION IN SECONDS,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/e8213062-80f7-44de-9865-26bf2c50aa2c,2016-06-27T03:56:33.617683,2016-06-30T04:28:38.886011,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - HRPAYP05 NUMBER OF UNDERPAYMENTS - ALL TYPES - THROUGH PROCESSING EXCEPTIONS,Payroll Services - HRPAYP05 NUMBER OF UNDERPAYMENTS - ALL TYPES - THROUGH PROCESSING EXCEPTIONS ,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/d519867f-9518-4540-9a19-f635dc0a8578,2016-06-27T03:51:20.143152,2016-06-30T04:27:59.559134,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,,Government reporting and policy,Steven
Payroll Services - Personal Data Change Transactions Received and Completed,Payroll Services - Personal Data Change Transactions Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/613ed1e0-9e08-41e3-bc7d-dbe37b0ecca3,2016-06-27T23:11:19.886382,2016-06-30T04:27:30.832612,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - Deduction Transactions Received and Completed,Payroll Services - Deduction Transactions Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/880d07d7-e0b5-4c6d-b1f9-8a5ab1d9f897,2016-06-27T22:58:30.286181,2016-06-30T04:26:06.558385,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Payroll Services - HRPAYB01 NUMBER OF EMPLOYEES ON HR DATABASE,Payroll Services - HRPAYB01 NUMBER OF EMPLOYEES ON HR DATABASE ,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/255b2ca9-5b3f-46a8-8356-046658be219c,2016-06-27T03:37:09.944118,2016-06-30T04:25:44.960364,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Accounts Payable - Average Duration of Calls Received at Shared Services SA Call Centre FY15,Accounts Payable - Average Duration of Calls Received at Shared Services SA Call Centre FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/3c3ac488-786c-4741-bc87-4e31af61e9e3,2016-06-23T07:54:59.624705,2016-06-30T04:25:02.129460,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
